CAS  RN	Name	PMT-score	PMT-score Classification	PMT-score Explanation	P-score	P-score Classification	P-score Explanation	M-score	M-score Classification	M-score Explanation	T-score	T-score Classification	T-score Explanation
561-41-1	4,4'-Bis(dimethylamino)-4''-(methylamino)trityl alcohol	0.67	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.93	Very High	This P-score is based on an aquatic environmental half-life of 281.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.37	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.8 estimated using the KocWIN model of EPISuite™ version 4.1.	0.86	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
56-55-3	Benz(a)anthracene	0.44	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.80	Very High	This P-score is based on an aquatic environmental half-life of 133.3 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.11	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5 estimated using the KocWIN model of EPISuite™ version 4.1.	0.96	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
56773-42-3	Representing heptadecafluorooctanesulfonate	0.44	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 7782.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.11	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5.1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.78	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
57-14-7	1,1-Dimethylhydrazine	0.36	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.07	Low to moderate	This P-score is based on an aquatic environmental half-life of 13.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.91	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of -1.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.69	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
57-57-8	beta-Propiolactone	0.32	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.05	Low to moderate	This P-score is based on an aquatic environmental half-life of 10.9 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.75	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.4 estimated using the KocWIN model of EPISuite™ version 4.1.	0.88	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
57-74-9	Chlordane	0.38	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 3164.3 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.09	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5.4 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
58-55-9	Theophylline	0.40	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.16	Low to moderate	This P-score is based on an aquatic environmental half-life of 22.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.67	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
58-89-9	Lindane	0.54	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.93	Very High	This P-score is based on an aquatic environmental half-life of 278.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.25	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.66	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
593-60-2	Vinyl bromide	0.35	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.09	Low to moderate	This P-score is based on an aquatic environmental half-life of 15.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.61	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.4 estimated using the KocWIN model of EPISuite™ version 4.1.	0.79	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
59447-55-1	(Pentabromophenyl)methyl acrylate	0.35	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.95	Very High	This P-score is based on an aquatic environmental half-life of 330.9 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.14	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 4.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.33	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
