Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS PFAS			3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie verwacht
ZZS PFAS	fluazifop-butyl	69806-50-4	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	flurochloridone	61213-25-0	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	hexadecafluorheptaan	335-57-9	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	perfluorisobuteen	382-21-8	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	perfluoroctaansulfonzuur	1763-23-1	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	triflumizool	68694-11-1	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	perfluorundecanoaat	2058-94-8	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	kaliumheptadecafluoroctaan-1-sulfonaat	2795-39-3	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	ammoniumheptadecafluoroctaansulfonaat	29081-56-9	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	lithiumheptadecafluoroctaansulfonaat	29457-72-5	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	perfluordodecanoaat	307-55-1	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	perfluoroctaanzuur	335-67-1	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	perfluortetradecanoaat	376-06-7	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	ammonium pentadecafluoroctanoaat	3825-26-1	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	diethanolamineperfluoroctaansulfonaat	70225-14-8	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	perfluortridecanoaat	72629-94-8	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	tetrafluorethyleen	116-14-3	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	ammoniumzouten van perfluornonaanzuur	4149-60-4	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	perfluornonaanzuur	375-95-1	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	natriumzouten van perfluornonaanzuur	21049-39-8	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	perfluordecaanzuur	335-76-2	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	natrium perfluordecanoaat	3830-45-3	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	ammonium perfluordecanoaat	3108-42-7	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	Perfluorhexaan-1-sulfonzuur	355-46-4	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	perfluorbutaansulfonzuur	375-73-5	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	ammonium 2,3,3,3-tetrafluor-2-(heptafluorpropoxy)propanoaat	62037-80-3	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	perfluorbutaansulfonzuur en zijn zouten		3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	mengsel van 2,2,3,3,5,5,6,6-octafluor-4-(1,1,1,2,3,3,3-heptafluorpropaan-2-yl)morfoline en 2,2,3,3,5,5,6,6-octafluor-4-(heptafluorpropyl)morfoline		3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	heptadecafluoroctaansulfonamide	754-91-6	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	tetraethylammonium perfluorbutaansulfonaat	25628-08-4	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	2,3,3,3-tetrafluor-2-(heptafluorpropoxy)propaanzuur	13252-13-6	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	kalium 2,3,3,3-tetrafluor-2-(heptafluorpropoxy)propanoaat	67118-55-2	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	2,3,3,3-tetrafluor-2-(heptafluorpropoxy)propionyl fluoride	2062-98-8	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	1,1,2,2,3,3,4,4,4-nonafluor-N-(2-hydroxyethyl)-N-methylbutaan-1-sulfonamide	34454-97-2	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	1,1,2,2,3,3,4,4,4-nonafluorbutaan-1-sulfonyl fluoride	375-72-4	3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
ZZS PFAS	2,3,3,3-tetrafluor-2-(heptafluorpropoxy)propaanzuur, zijn zouten en zijn acylhaliden		3.7 Dienstverlening, onderwijs en zorg	3.7.10 Voorziening voor het oefenen van brandbestrijdingstechnieken		Water	Emissie mogelijk
