Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS boorverbindingen			3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie verwacht
ZZS boorverbindingen	dibutyltinwaterstofboraat	75113-37-0	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	boorzuur	10043-35-3	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	perboorzuur (HBO(O2)) natriumzout monohydraat	10332-33-9	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	perboorzuur (HBO(O2)) natriumzout tetrahydraat	10486-00-7	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	natuurlijk ruw boorzuur met een gehalte aan H3BO3 van niet meer dan 85 gewichtsprocenten berekend op de droge stof	11113-50-1	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	perboorzuur natriumzout	11138-47-9	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	trinikkelboride	12007-02-2	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	perboorzuur natriumzout monohydraat	12040-72-1	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	boraxpentahydraat	12179-04-3	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	tetraboordinatriumheptaoxide hydraat	12267-73-1	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	diboortrioxide	1303-86-2	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	boraxdecahydraat	1303-96-4	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	dinatriumtetraboraat, watervrij	1330-43-4	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	perboorzuur (H3BO2(O2)) mononatriumzout trihydraat	13517-20-9	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	orthoboorzuur natriumzout	13840-56-7	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	nikkelbis(tetrafluorboraat)	14708-14-6	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	natriumperboraat	15120-21-5	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	perboorzuur natriumzout tetrahydraat	37244-98-7	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	nikkelboorfosfide	65229-23-4	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	natriumperoxometaboraat	7632-04-4	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	loodbis(tetrafluorboraat)	13814-96-5	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	dinikkelboride	12007-01-1	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
ZZS boorverbindingen	nikkelboride	12007-00-0	3.3 Complexe bedrijven	3.3.7 Complexe minerale industrie	3.3.7 f/g het smelten van minerale stoffen en het maken van mineraalvezels, glazuren of emailles	Water	Emissie mogelijk
