Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS chroom (VI) verbindingen			3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie verwacht
ZZS chroom (VI) verbindingen	calciumchromaat	13765-19-0	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chromyldichloride	14977-61-8	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chroom (VI)	18540-29-9	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chroom (VI) verbindingen		3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chroom(III)chromaat	24613-89-6	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chroomtrioxide	1333-82-0	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	chroomzuur	7738-94-5	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	kaliumdichromaat	7778-50-9	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	loodchromaat	7758-97-6	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	strontiumchromaat	7789-06-2	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	tert-butylchromaat	1189-85-1	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	zinkchromaat	13530-65-9	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	loodsulfochromaat	1344-37-2	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	loodchromaatmolybdaatsulfaat	12656-85-8	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	dichroomzuur	13530-68-2	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	natriumdichromaat	10588-01-9	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	ammoniumdichromaat	7789-09-5	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	kaliumchromaat	7789-00-6	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	natriumchromaat	7775-11-3	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	nikkelchromaat	14721-18-7	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	pentazinkchromaatoctahydroxide	49663-84-5	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	zinkkaliumchromaat	11103-86-9	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	nikkeldichromaat	15586-38-6	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	natrium dichromaat dihydraat	7789-12-0	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	uit chroomtrioxide gevormde zuren en oligomeren daarvan		3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	ammoniumchromaat	7788-98-9	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	4-(dimethylamino)pyridinium chloorchromaat	81121-61-1	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	diloodchromaatoxide	18454-12-1	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	rubidium chromaat	13446-72-5	3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
ZZS chroom (VI) verbindingen	oligomeren van chroomzuur en dichroomzuur		3.4 Nutssector en industrie	3.4.4 Metaalproductenindustrie	3.4.4 e het harden of gloeien van metalen en het diffunderen van stoffen in het metaaloppervlak	Water	Emissie mogelijk
