Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS polycyclische aromatische koolwaterstoffen (PAKs)			3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 f het breken, malen, zeven of drogen van mergel, zand, grind, kalk, steenkolen of andere mineralen of derivaten daarvan	Water	Emissie verwacht
ZZS polycyclische aromatische koolwaterstoffen (PAKs)	2-methylnaftaleen	91-57-6	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 f het breken, malen, zeven of drogen van mergel, zand, grind, kalk, steenkolen of andere mineralen of derivaten daarvan	Water	Emissie mogelijk
ZZS polycyclische aromatische koolwaterstoffen (PAKs)	7H-dibenzo[c,g]carbazool	194-59-2	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 f het breken, malen, zeven of drogen van mergel, zand, grind, kalk, steenkolen of andere mineralen of derivaten daarvan	Water	Emissie mogelijk
ZZS polycyclische aromatische koolwaterstoffen (PAKs)	acenafteen	83-32-9	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 f het breken, malen, zeven of drogen van mergel, zand, grind, kalk, steenkolen of andere mineralen of derivaten daarvan	Water	Emissie mogelijk
ZZS polycyclische aromatische koolwaterstoffen (PAKs)	acenaftyleen	208-96-8	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 f het breken, malen, zeven of drogen van mergel, zand, grind, kalk, steenkolen of andere mineralen of derivaten daarvan	Water	Emissie mogelijk
ZZS polycyclische aromatische koolwaterstoffen (PAKs)	acridine	260-94-6	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 f het breken, malen, zeven of drogen van mergel, zand, grind, kalk, steenkolen of andere mineralen of derivaten daarvan	Water	Emissie mogelijk
ZZS polycyclische aromatische koolwaterstoffen (PAKs)	antraceen	120-12-7	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 f het breken, malen, zeven of drogen van mergel, zand, grind, kalk, steenkolen of andere mineralen of derivaten daarvan	Water	Emissie mogelijk
ZZS polycyclische aromatische koolwaterstoffen (PAKs)	benz[a]acridine	225-11-6	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 f het breken, malen, zeven of drogen van mergel, zand, grind, kalk, steenkolen of andere mineralen of derivaten daarvan	Water	Emissie mogelijk
ZZS polycyclische aromatische koolwaterstoffen (PAKs)	benz[c]acridine	225-51-4	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 f het breken, malen, zeven of drogen van mergel, zand, grind, kalk, steenkolen of andere mineralen of derivaten daarvan	Water	Emissie mogelijk
ZZS polycyclische aromatische koolwaterstoffen (PAKs)	benzo[a]antraceen	56-55-3	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 f het breken, malen, zeven of drogen van mergel, zand, grind, kalk, steenkolen of andere mineralen of derivaten daarvan	Water	Emissie mogelijk
ZZS polycyclische aromatische koolwaterstoffen (PAKs)	benzo[a]pyreen	50-32-8	3.4 Nutssector en industrie	3.4.5 Minerale producten industrie	3.4.5 f het breken, malen, zeven of drogen van mergel, zand, grind, kalk, steenkolen of andere mineralen of derivaten daarvan	Water	Emissie mogelijk
