Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS fenolen			3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie verwacht
ZZS fenolen	2,4,6-tri-tert-butylfenol	732-26-3	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	bisfenol A	80-05-7	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	catechol	120-80-9	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	dinoterb	1420-07-1	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	geëthoxyleerd 4-(1,1,3,3-tetramethylbutyl)fenol		3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	geëthoxyleerd lineair en vertakt 4-nonylfenol		3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	4-nonylfenol, vertakt	84852-15-3	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	nonylfenolen		3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	nonylfenol	25154-52-3	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	para-tert-octylfenol	140-66-9	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	pentachloorfenol	87-86-5	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	p-nonylfenol	104-40-5	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	tetrabroombisfenol A	79-94-7	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	triton X-100	9002-93-1	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	nonylfenolethoxylaat met 1-2 ethoxymonomeren gecarboxyleerd (NPE1+2C)		3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	nonylfenolethoxylaat met >8 ethoxymonomeren (NPEO>8)		3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	nonylfenolethoxylaat met 1-2 ethoxymonomeren (NPEO1+2)		3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	nonylfenolethoxylaat met 3-8 ethoxymonomeren (NPEO3-8)		3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	2-chloor-6-fluorfenol	2040-90-6	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	4-amino-3-fluorfenol	399-95-1	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	4,4-isobutylethylideendifenol	6807-17-6	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	fenolftaleïne	77-09-8	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	(E)-3-[1-[4-[2-(dimethylamino)ethoxy]fenyl]-2-fenylbut-1-enyl]fenol	82413-20-5	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	C9-11-fenolen	91079-47-9	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	nonylfenol en nonylfenolethoxylaten		3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	nonylfenolethoxylaten	9016-45-9	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	natriumpentachloorfenolaat	131-52-2	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	2-benzotriazool-2-yl-4,6-di-tert-butylfenol	3846-71-7	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	2-(2H-benzotriazool-2-yl)-4,6-di-tert-pentylfenol	25973-55-1	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	2,4-di-tert-butyl-6-(5-chloorbenzotriazool-2-yl)fenol	3864-99-1	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	2-(2H-benzotriazool-2-yl)-4-(tert-butyl)-6-(sec-butyl)fenol	36437-37-3	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	fenol, dodecyl-, vertakt	121158-58-5	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	fenol, 2-dodecyl-, vertakt	1801269-80-6	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	fenol, 3-dodecyl-, vertakt	1801269-77-1	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	fenol, 4-dodecyl-, vertakt	210555-94-5	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	fenol, (tetrapropenyl)-derivaten	74499-35-7	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	p-(1,1-dimethylpropyl)fenol	80-46-6	3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	vertakt en lineair 4-heptylfenol		3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
ZZS fenolen	reactieproducten van 1,3,4-thiadiazolidin-2,5-dithion, formaldehyde en vertakt en lineair 4-heptylfenol		3.4 Nutssector en industrie	3.4.9 Rubberindustrie en kunststofindustrie	3.4.9 d het verwerken van polyesterhars	Water	Emissie mogelijk
