"","name","InChI","InChIKey","SMILES","MolecularFormula","MonoisotopicMass","InChIKeySkeleton","Parent","TP_literature","TP_pubchem","TP_predicted","MoleculeID","LogP_pred","LogP_predRange","AD_LogP","AD_index_LogP","Conf_index_LogP","logP_trusted","logD","ionization","pKa_a_pred","pKa_a_predRange","pKa_b_pred","pKa_b_predRange","AD_pKa","AD_index_pKa","Conf_index_pKa","pKa_trusted","LogKoc_pred","Koc_predRange","AD_Koc","AD_index_Koc","Conf_index_Koc","logKoc_trusted","LC.MS.ESI.Negative.Amenability.Prediction","LC.MS.ESI.Negative.Amenability.Probability","LC.MS.ESI.Positive.Amenability.Prediction","LC.MS.ESI.Positive.Amenability.Probability"
"1","Acetic Acid","InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)","QTBSBXVTEAMEQO-UHFFFAOYSA-N","CC(=O)O","C2H4O2",60.021129366,"QTBSBXVTEAMEQO",TRUE,TRUE,TRUE,TRUE,"Molecule_1",-0.17,"[-0.21:-0.13]",1,0.998,0.966,TRUE,-7.19377538764168,1,3.95,"[3.94:3.96]",NA,NA,1,0.999,0.983,TRUE,0,"[0:0.06]",1,0.998,0.829,TRUE,"",NA,"",NA
"2","Catechol","InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H","YCIMNLLNPGFGHC-UHFFFAOYSA-N","C1=CC=C(C(=C1)O)O","C6H6O2",110.03677943,"YCIMNLLNPGFGHC",TRUE,TRUE,TRUE,TRUE,"Molecule_2",0.88,"[0.85:0.91]",1,0.998,0.948,TRUE,0.873710248578412,1,9.2,"[9.08:9.32]",NA,NA,1,0.999,0.949,TRUE,1.44,"[0.98:2.02]",1,0.796,0.637,TRUE,"Unamenable",0.355,"Unamenable",0.396
"3","Chlordecone","InChI=1S/C10Cl10O/c11-2-1(21)3(12)6(15)4(2,13)8(17)5(2,14)7(3,16)9(6,18)10(8,19)20","LHHGDZSESBACKH-UHFFFAOYSA-N","C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl","C10Cl10O",485.683442,"LHHGDZSESBACKH",TRUE,FALSE,TRUE,FALSE,"Molecule_3",5.41,"[5.41:5.44]",1,0.998,0.842,TRUE,5.41,0,NA,NA,NA,NA,0,0,0,FALSE,4.2,"[4.17:4.23]",1,0.998,0.806,TRUE,"",NA,"",NA
"4","Imidazole","InChI=1S/C3H4N2/c1-2-5-3-4-1/h1-3H,(H,4,5)","RAXXELZNTBOGNW-UHFFFAOYSA-N","C1=CN=CN1","C3H4N2",68.037448136,"RAXXELZNTBOGNW",TRUE,FALSE,TRUE,TRUE,"Molecule_4",-0.08,"[-0.1:-0.06]",1,0.998,0.989,TRUE,-0.171210203286513,1,NA,NA,5.98,"[5.8:6.16]",1,0.999,0.814,TRUE,0.81,"[0.25:1.37]",1,0.619,0.588,TRUE,"Unamenable",0.236,"Amenable",0.799
"5","Phenol","InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H","ISWSIDIOOBJBQZ-UHFFFAOYSA-N","C1=CC=C(C=C1)O","C6H6O",94.041864811,"ISWSIDIOOBJBQZ",TRUE,FALSE,TRUE,TRUE,"Molecule_5",1.46,"[1.46:1.49]",1,0.998,0.895,TRUE,1.45904546312928,1,10.02,"[10.01:10.03]",NA,NA,1,0.999,0.973,TRUE,1.43,"[1.38:1.48]",1,0.998,0.887,TRUE,"Unamenable",0.214,"Unamenable",0.299
"6","1,2-Dimethylhydrazine","InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3","DIIIISSCIXVANO-UHFFFAOYSA-N","CNNC","C2H8N2",60.068748264,"DIIIISSCIXVANO",TRUE,FALSE,TRUE,FALSE,"Molecule_6",-0.43,"[-0.76:-0.1]",1,0.553,0.713,TRUE,-1.03527931203305,1,NA,NA,6.92,"[6.83:7.01]",1,0.999,0.78,TRUE,0.65,"[0.06:1.24]",1,0.659,0.588,TRUE,"Unamenable",0.176,"Amenable",0.524
"7","4-Nonylphenol","InChI=1S/C15H24O/c1-2-3-4-5-6-7-8-9-14-10-12-15(16)13-11-14/h10-13,16H,2-9H2,1H3","IGFHQQFPSIBGKE-UHFFFAOYSA-N","CCCCCCCCCC1=CC=C(C=C1)O","C15H24O",220.182715385,"IGFHQQFPSIBGKE",TRUE,FALSE,TRUE,FALSE,"Molecule_7",5.76,"[5.71:5.81]",1,0.998,0.968,TRUE,5.75985875622091,1,10.85,"[10.68:11.02]",NA,NA,1,0.782,0.857,TRUE,3.84,"[3.82:3.86]",1,0.998,0.941,TRUE,"Unamenable",0.065,"Unamenable",0.253
"8","Oxyquinoline","InChI=1S/C9H7NO/c11-8-5-1-3-7-4-2-6-10-9(7)8/h1-6,11H","MCJGNVYPOGVAJF-UHFFFAOYSA-N","C1=CC2=C(C(=C1)O)N=CC=C2","C9H7NO",145.052763847,"MCJGNVYPOGVAJF",TRUE,TRUE,TRUE,FALSE,"Molecule_8",2.02,"[1.99:2.05]",1,0.998,0.944,TRUE,-3.32680843295007,2,9.32,"[9.05:9.59]",4.88,"[4.61:5.15]",1,0.999,0.753,TRUE,2.94,"[2.61:3.27]",1,0.636,0.683,TRUE,"Unamenable",0.155,"Unamenable",0.31
"9","Acetaminophen","InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)","RZVAJINKPMORJF-UHFFFAOYSA-N","CC(=O)NC1=CC=C(C=C1)O","C8H9NO2",151.06332853,"RZVAJINKPMORJF",TRUE,FALSE,TRUE,FALSE,"Molecule_9",0.46,"[0.43:0.49]",1,0.998,0.926,TRUE,0.46,0,NA,NA,NA,NA,0,0,0,FALSE,1.68,"[1.43:2.03]",1,0.731,0.733,TRUE,"Unamenable",0.405,"Amenable",0.663
"10","Acridone","InChI=1S/C13H9NO/c15-13-9-5-1-3-7-11(9)14-12-8-4-2-6-10(12)13/h1-8H,(H,14,15)","FZEYVTFCMJSGMP-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2","C13H9NO",195.068413911,"FZEYVTFCMJSGMP",TRUE,TRUE,TRUE,FALSE,"Molecule_10",2.2,"[1.34:3.03]",1,0.618,0.552,TRUE,2.19947533020302,1,10.28,"[9.99:10.57]",NA,NA,1,0.999,0.697,TRUE,4.03,"[3.52:4.54]",1,0.562,0.623,TRUE,"Unamenable",0.29,"Amenable",0.588
